City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Ierapetra,GR,35.01,25.7353,60.01,57,9,16.37,clear sky
107,Norrtalje,SE,59.758,18.705,37.99,90,100,1.01,overcast clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,1,11.5,clear sky
109,Barabai,ID,-2.5833,115.3833,87.75,58,99,2.33,overcast clouds
110,Dubbo,AU,-32.25,148.6167,98.6,23,47,8.05,scattered clouds
111,Georgetown,MY,5.4112,100.3354,86.0,66,20,6.91,few clouds
112,Lukulu,ZM,-14.3707,23.242,63.88,98,96,4.38,light rain
113,Guatire,VE,10.4762,-66.5427,84.2,84,75,3.44,broken clouds
114,Westport,US,41.1415,-73.3579,23.0,57,0,15.9,clear sky
115,Tiksi,RU,71.6872,128.8694,-41.33,79,56,5.12,broken clouds
116,Lompoc,US,34.6391,-120.4579,48.2,81,40,4.61,scattered clouds
117,Asau,RO,46.4333,26.4,35.01,67,100,4.59,overcast clouds
118,Yulara,AU,-25.2406,130.9889,91.4,49,75,23.02,broken clouds
119,Ha Tinh,VN,18.3333,105.9,71.82,72,32,3.74,scattered clouds
120,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.89,85,30,9.06,scattered clouds
121,Aksarka,RU,66.5606,67.7975,-40.36,80,20,4.92,few clouds
122,Vardo,NO,70.3705,31.1107,19.89,95,100,27.94,overcast clouds
123,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.99,93,75,4.76,broken clouds
124,Dorfen,DE,48.2667,12.15,34.0,86,0,10.36,clear sky
125,Husavik,IS,66.0449,-17.3389,28.4,93,90,14.97,snow
126,Ambon,ID,-3.6954,128.1814,78.8,83,40,9.22,heavy intensity rain
127,Tautira,PF,-17.7333,-149.15,82.4,61,40,3.44,scattered clouds
128,Pangkalanbuun,ID,-2.6833,111.6167,92.95,50,82,2.77,broken clouds
129,Kruisfontein,ZA,-34.0033,24.7314,64.0,91,100,1.99,overcast clouds
130,Koutiala,ML,12.3917,-5.4642,63.93,25,8,7.92,clear sky
131,Cayenne,GF,4.9333,-52.3333,75.2,100,75,1.14,broken clouds
132,Hobart,AU,-42.8794,147.3294,89.01,47,40,14.97,scattered clouds
133,Dalmeny,CA,52.3334,-106.7679,-22.0,69,20,6.91,few clouds
134,Bassano,CA,50.7834,-112.4685,1.99,85,100,10.36,overcast clouds
135,Cherskiy,RU,68.75,161.3,-25.35,86,100,5.64,overcast clouds
136,Mastic Beach,US,40.7668,-72.8521,24.8,42,1,12.66,clear sky
137,El Vigia,VE,8.6219,-71.6506,75.51,72,69,2.86,broken clouds
138,Touba,CI,8.2833,-7.6833,68.05,25,0,2.01,clear sky
139,Khatanga,RU,71.9667,102.5,-24.84,85,100,11.21,overcast clouds
140,Hithadhoo,MV,-0.6,73.0833,81.63,71,72,4.52,broken clouds
141,Cidreira,BR,-30.1811,-50.2056,75.65,83,0,16.89,clear sky
142,Norman Wells,CA,65.282,-126.8329,-14.8,84,90,3.44,overcast clouds
143,Lorengau,PG,-2.0226,147.2712,85.55,62,81,3.02,broken clouds
144,Vila Velha,BR,-20.3297,-40.2925,73.4,88,20,4.61,few clouds
145,Saskylakh,RU,71.9167,114.0833,-34.69,81,24,6.35,few clouds
146,Cabo San Lucas,MX,22.8909,-109.9124,64.99,91,10,8.23,clear sky
147,Vicuna,CL,-30.0319,-70.7081,62.6,82,0,4.61,clear sky
148,Luderitz,NA,-26.6481,15.1594,69.37,59,92,25.64,light rain
149,Lentekhi,GE,42.7856,42.7261,32.4,70,0,7.4,clear sky
150,Klaksvik,FO,62.2266,-6.589,35.6,87,100,9.22,light rain
151,Viedma,AR,-40.8135,-62.9967,67.98,64,63,21.27,broken clouds
152,San Patricio,US,28.017,-97.5169,69.8,100,90,4.61,fog
153,Dikson,RU,73.5069,80.5464,-16.38,90,78,7.85,broken clouds
154,Fushun,CN,41.8558,123.9233,39.2,52,99,4.47,smoke
155,Huarmey,PE,-10.0681,-78.1522,71.46,78,93,5.88,overcast clouds
156,Key West,US,24.5557,-81.7826,69.01,94,1,4.61,clear sky
157,Wukari,NG,7.85,9.7833,69.75,24,99,5.5,overcast clouds
158,Pevek,RU,69.7008,170.3133,-19.01,88,97,4.5,overcast clouds
159,Katsuura,JP,35.1333,140.3,46.99,93,75,20.71,light rain
160,Geraldton,AU,-28.7667,114.6,77.0,53,14,13.8,few clouds
161,Mwinilunga,ZM,-11.7358,24.4293,62.4,97,100,2.55,light rain
162,Bredasdorp,ZA,-34.5322,20.0403,55.4,82,29,5.75,scattered clouds
163,Bathsheba,BB,13.2167,-59.5167,77.0,73,40,12.66,scattered clouds
164,Reconquista,AR,-29.15,-59.65,78.3,70,0,5.17,clear sky
165,Yabelo,ET,4.8833,38.0833,57.58,70,91,9.51,overcast clouds
166,Bambous Virieux,MU,-20.3428,57.7575,84.0,83,40,6.49,scattered clouds
167,Lebu,CL,-37.6167,-73.65,57.27,86,0,17.0,clear sky
168,Plouzane,FR,48.3833,-4.6167,44.6,87,40,11.5,scattered clouds
169,La Palma,US,33.8464,-118.0467,48.2,81,90,5.75,heavy intensity rain
170,Nanortalik,GL,60.1432,-45.2371,22.12,88,0,9.62,clear sky
171,Artyom,AZ,40.4723,50.333,32.0,93,0,6.91,clear sky
172,Danilovka,RU,50.3557,44.1168,32.83,95,100,10.49,snow
173,Shimoda,JP,34.6667,138.95,46.4,87,75,33.38,broken clouds
174,Balkanabat,TM,39.5108,54.3671,33.78,79,93,5.14,overcast clouds
175,Buckeye,US,33.3703,-112.5838,52.0,76,74,2.42,broken clouds
176,Ekhabi,RU,53.5102,142.9671,-7.02,85,100,12.64,overcast clouds
177,Qaanaaq,GL,77.484,-69.3632,11.88,77,69,1.48,broken clouds
178,Moerai,PF,-22.4333,-151.3333,81.09,72,23,10.04,few clouds
179,Puerto Escondido,MX,15.85,-97.0667,76.59,75,100,2.59,overcast clouds
180,Cooma,AU,-36.2333,149.1333,91.4,12,0,11.5,clear sky
181,Talcahuano,CL,-36.7167,-73.1167,59.0,94,90,5.75,overcast clouds
182,Sorland,NO,67.667,12.6934,26.64,93,44,12.48,scattered clouds
183,Serenje,ZM,-13.2325,30.2352,62.28,96,100,9.44,light rain
184,Tierra Colorada,MX,17.1667,-99.5833,74.61,83,100,0.72,overcast clouds
185,Hamilton,US,39.1834,-84.5333,28.0,68,1,4.61,clear sky
186,Karratha,AU,-20.7377,116.8463,95.4,31,81,16.44,broken clouds
187,Price,US,39.5994,-110.8107,21.2,86,1,10.36,clear sky
188,Chimbote,PE,-9.0853,-78.5783,71.37,77,98,4.99,overcast clouds
189,Radhanpur,IN,23.8333,71.6,66.16,25,0,6.93,clear sky
190,La Ronge,CA,55.1001,-105.2842,-27.4,68,0,2.59,clear sky
191,Qujing,CN,25.4833,103.7833,58.21,54,53,20.11,broken clouds
192,Harper,LR,4.375,-7.7169,77.36,87,3,5.12,clear sky
193,Cockburn Town,TC,21.4612,-71.1419,77.47,70,0,8.1,clear sky
194,Sinop,TR,41.7711,34.8709,37.89,71,100,15.21,overcast clouds
195,Sabha,LY,27.0377,14.4283,46.29,49,0,3.4,clear sky
196,Northam,GB,51.0333,-4.2167,37.0,92,100,8.01,moderate rain
