City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Avera,US,2021-01-21 23:41:13,33.194,-82.5271,59.0,96,90,8.05
127,Port Lincoln,AU,2021-01-21 23:41:14,-34.7333,135.8667,73.6,41,0,5.84
128,Ponta Delgada,PT,2021-01-21 23:36:31,37.7333,-25.6667,57.0,82,20,8.05
129,Bolobo,CD,2021-01-21 23:41:14,-2.1667,16.2333,75.16,75,24,2.98
130,Riberalta,BO,2021-01-21 23:41:14,-10.9833,-66.1,78.8,83,75,9.22
131,Ulaanbaatar,MN,2021-01-21 23:41:14,47.9077,106.8832,-14.8,76,12,5.1
132,Nelson Bay,AU,2021-01-21 23:41:14,-32.7167,152.15,82.0,64,20,5.75
133,Tiksi,RU,2021-01-21 23:41:15,71.6872,128.8694,-31.65,83,100,18.84
134,Nome,US,2021-01-21 23:39:00,64.5011,-165.4064,30.2,80,90,13.8
135,Raudeberg,NO,2021-01-21 23:41:15,61.9875,5.1352,39.0,77,100,12.3
136,Bathsheba,BB,2021-01-21 23:41:15,13.2167,-59.5167,77.0,83,20,11.5
137,Charters Towers,AU,2021-01-21 23:41:15,-20.1,146.2667,79.9,53,82,12.3
138,Alice Springs,AU,2021-01-21 23:37:10,-23.7,133.8833,89.6,10,0,12.66
139,Kedrovyy,RU,2021-01-21 23:41:16,56.1667,91.8167,-7.6,84,100,3.0
140,Qaanaaq,GL,2021-01-21 23:41:16,77.484,-69.3632,10.42,91,82,3.53
141,Luderitz,NA,2021-01-21 23:41:16,-26.6481,15.1594,70.92,61,18,15.46
142,Mahon,ES,2021-01-21 23:41:16,39.8885,4.2658,57.2,88,0,12.66
143,Hammerfest,NO,2021-01-21 23:41:16,70.6634,23.6821,12.2,73,0,13.8
144,Pampas,PE,2021-01-21 23:41:17,-12.4,-74.9,51.49,77,81,5.35
145,Ponta Do Sol,PT,2021-01-21 23:41:17,32.6667,-17.1,62.01,87,38,5.01
146,Ancud,CL,2021-01-21 23:41:17,-41.8697,-73.8203,71.6,68,0,6.91
147,Barrow,US,2021-01-21 23:41:17,71.2906,-156.7887,-0.4,71,90,24.16
148,Rocha,UY,2021-01-21 23:41:17,-34.4833,-54.3333,66.38,87,0,7.54
149,Yulara,AU,2021-01-21 23:41:17,-25.2406,130.9889,89.6,10,87,8.05
150,Haines Junction,CA,2021-01-21 23:41:17,60.7522,-137.5108,-2.2,92,32,1.14
151,Amga,RU,2021-01-21 23:41:17,60.8953,131.9608,-53.57,69,74,1.66
152,Pevek,RU,2021-01-21 23:41:18,69.7008,170.3133,-19.68,86,100,1.79
153,Victor Harbor,AU,2021-01-21 23:41:18,-35.5667,138.6167,81.0,31,26,3.0
154,Baykit,RU,2021-01-21 23:41:18,61.67,96.37,-36.92,75,97,4.07
155,Flinders,AU,2021-01-21 23:41:18,-34.5833,150.8552,77.0,71,2,8.01
156,Stykkisholmur,IS,2021-01-21 23:41:18,65.0757,-22.7297,26.65,91,40,24.96
157,Saint-Augustin,CA,2021-01-21 23:41:18,51.226,-58.6502,13.01,90,93,3.11
158,Westport,US,2021-01-21 23:41:19,41.1415,-73.3579,37.99,52,1,7.02
159,Awbari,LY,2021-01-21 23:41:19,26.5921,12.7805,47.91,49,0,6.85
160,Kahului,US,2021-01-21 23:41:19,20.8947,-156.47,80.6,54,40,27.63
161,Kaitangata,NZ,2021-01-21 23:41:19,-46.2817,169.8464,63.0,55,59,11.01
