City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
351,Jacareacanga,BR,73.33,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
357,Biak,ID,82.47,light rain,-0.9131,122.8766,Penginapan Kim
363,Kavieng,PG,85.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
365,Chenzhou,CN,70.56,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
366,Port Lincoln,AU,81.03,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
368,Acarau,BR,79.66,overcast clouds,-2.8856,-40.12,castelo pizzaria
372,Mahanoro,MG,79.36,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
376,Maldonado,UY,75.0,clear sky,-34.6667,-54.9167,La Cimarrona
381,Quatre Cocos,MU,84.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
382,Monrovia,LR,76.64,clear sky,6.3005,-10.7969,Sunset Inn
384,Kawalu,ID,84.38,moderate rain,-7.3817,108.2082,KOSAN UNGU UNSIK
386,Padang,ID,89.6,few clouds,-0.9492,100.3543,Mercure Padang
389,Sirawai,PH,84.11,overcast clouds,7.5854,122.1407,
391,Sao Filipe,CV,72.46,scattered clouds,14.8961,-24.4956,Tortuga B&B
396,Puerto Colombia,CO,78.8,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
400,Sola,VU,86.0,broken clouds,-13.8833,167.55,Leumerus Bungalows
401,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
404,Rio Grande,BR,73.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
407,Grand Gaube,MU,84.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
414,Santa Maria,BR,75.2,clear sky,-29.6842,-53.8069,Hotel Morotin
416,Khao Wong,TH,81.0,clear sky,16.7001,104.0902,ลำน้ำยังรีสอร์ท
421,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
428,Kendari,ID,83.62,light rain,-3.945,122.4989,Hotel Wixel
429,Waingapu,ID,85.42,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
430,Faanui,PF,81.28,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
435,Trairi,BR,78.01,overcast clouds,-3.2778,-39.2689,janelas do mar
438,Veraval,IN,70.66,clear sky,20.9,70.3667,Lords Inn Somnath
439,Qui Nhon,VN,73.94,clear sky,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
441,Adiake,CI,77.0,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
448,Pemangkat,ID,81.27,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
451,Isangel,VU,82.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
452,Buchanan,LR,77.09,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
466,Acari,PE,72.61,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
468,Inirida,CO,73.89,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
471,Dong Hoi,VN,72.21,broken clouds,17.4833,106.6,Nam Long Hotel
